name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
Студия,1800000,100000,3,5,Вторичка,18.0,10.0,3.0,2.5,1,Null,Косметический,1982,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Юлиуса Фучика, 12",https://nn.cian.ru/sale/flat/294496689/
1-комн. квартира,1650000,112245,-2,25,Новостройка,14.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499388/
Студия,1860000,134783,5,5,Вторичка,13.8,Null,Null,2.5,1,Null,Косметический,1917,Нет,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 12к1",https://nn.cian.ru/sale/flat/294449744/
1-комн. квартира,1750000,94086,-2,25,Новостройка,18.6,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499314/
Студия,1900000,126667,1,5,Вторичка,15.0,5.0,5.0,Null,1,Null,Без ремонта,1972,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 11Ак1",https://nn.cian.ru/sale/flat/294461133/
1-комн. квартира,1750000,104790,-2,25,Новостройка,16.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499189/
Студия,1850000,110778,6,9,Вторичка,16.7,8.7,3.0,2.5,1,Null,Косметический,1980,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 108",https://nn.cian.ru/sale/flat/294353194/
1-комн. квартира,1850000,105714,-2,25,Новостройка,17.5,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499342/
Студия,1630000,125385,3,5,Вторичка,13.0,6.0,2.0,Null,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/283160031/
Студия,1800000,138462,2,5,Вторичка,13.0,5.0,3.0,Null,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/293950228/
Студия,1850000,146825,5,5,Вторичка,12.6,6.6,1.0,Null,1,Null,Косметический,1973,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 43А",https://nn.cian.ru/sale/flat/294172035/
Студия,1730000,123571,5,5,Вторичка,14.0,Null,Null,Null,Null,Null,Евроремонт,1968,Null,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Советской Армии, 13",https://nn.cian.ru/sale/flat/294430041/
Студия,1850000,102778,2,5,Вторичка,18.0,17.0,1.0,2.7,Null,Null,Косметический,1977,Null,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Перекопская ул., 8к1",https://nn.cian.ru/sale/flat/291956487/
1-комн. апартаменты,1900000,146154,1,27,Вторичка Апартаменты,13.0,Null,Null,Null,1,Null,Без ремонта,2017,Нет,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ленгородок, Украинская ул., 50",https://nn.cian.ru/sale/flat/275564036/
Студия,1900000,89202,1,5,Вторичка,21.3,12.3,4.0,Null,1,Null,Косметический,1969,Нет,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, ул. Энтузиастов, 10к1",https://nn.cian.ru/sale/flat/293989570/
1-комн. квартира,1650000,112245,-2,25,Новостройка,14.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499388/
Студия,1800000,100000,3,5,Вторичка,18.0,10.0,3.0,2.5,1,Null,Косметический,1982,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Юлиуса Фучика, 12",https://nn.cian.ru/sale/flat/294496689/
1-комн. квартира,1650000,104430,-2,25,Новостройка,15.8,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499264/
Студия,1860000,134783,5,5,Вторичка,13.8,Null,Null,2.5,1,Null,Косметический,1917,Нет,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 12к1",https://nn.cian.ru/sale/flat/294449744/
1-комн. квартира,1750000,94086,-2,25,Новостройка,18.6,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499314/
Студия,1900000,126667,1,5,Вторичка,15.0,5.0,5.0,Null,1,Null,Без ремонта,1972,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 11Ак1",https://nn.cian.ru/sale/flat/294461133/
1-комн. квартира,1750000,104790,-2,25,Новостройка,16.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499189/
Студия,1850000,110778,6,9,Вторичка,16.7,8.7,3.0,2.5,1,Null,Косметический,1980,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 108",https://nn.cian.ru/sale/flat/294353194/
1-комн. квартира,1850000,105714,-2,25,Новостройка,17.5,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499342/
Студия,1630000,125385,3,5,Вторичка,13.0,6.0,2.0,Null,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/283160031/
Студия,1800000,138462,2,5,Вторичка,13.0,5.0,3.0,Null,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/293950228/
Студия,1850000,146825,5,5,Вторичка,12.6,6.6,1.0,Null,1,Null,Косметический,1973,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 43А",https://nn.cian.ru/sale/flat/294172035/
Студия,1730000,123571,5,5,Вторичка,14.0,Null,Null,Null,Null,Null,Евроремонт,1968,Null,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Советской Армии, 13",https://nn.cian.ru/sale/flat/294430041/
Студия,1850000,102778,2,5,Вторичка,18.0,17.0,1.0,2.7,Null,Null,Косметический,1977,Null,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Перекопская ул., 8к1",https://nn.cian.ru/sale/flat/291956487/
1-комн. апартаменты,1900000,146154,1,27,Вторичка Апартаменты,13.0,Null,Null,Null,1,Null,Без ремонта,2017,Нет,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ленгородок, Украинская ул., 50",https://nn.cian.ru/sale/flat/275564036/
Студия,1900000,89202,1,5,Вторичка,21.3,12.3,4.0,Null,1,Null,Косметический,1969,Нет,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, ул. Энтузиастов, 10к1",https://nn.cian.ru/sale/flat/293989570/
1-комн. квартира,1650000,112245,-2,25,Новостройка,14.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499388/
Студия,1800000,100000,3,5,Вторичка,18.0,10.0,3.0,2.5,1,Null,Косметический,1982,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Юлиуса Фучика, 12",https://nn.cian.ru/sale/flat/294496689/
1-комн. квартира,1650000,104430,-2,25,Новостройка,15.8,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499264/
Студия,1860000,134783,5,5,Вторичка,13.8,Null,Null,2.5,1,Null,Косметический,1917,Нет,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 12к1",https://nn.cian.ru/sale/flat/294449744/
1-комн. квартира,1750000,94086,-2,25,Новостройка,18.6,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499314/
Студия,1900000,126667,1,5,Вторичка,15.0,5.0,5.0,Null,1,Null,Без ремонта,1972,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 11Ак1",https://nn.cian.ru/sale/flat/294461133/
1-комн. квартира,1750000,104790,-2,25,Новостройка,16.7,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499189/
Студия,1850000,110778,6,9,Вторичка,16.7,8.7,3.0,2.5,1,Null,Косметический,1980,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, Березовская ул., 108",https://nn.cian.ru/sale/flat/294353194/
1-комн. квартира,1850000,105714,-2,25,Новостройка,17.5,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499342/
Студия,1630000,125385,3,5,Вторичка,13.0,6.0,2.0,Null,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/283160031/
Студия,1800000,138462,2,5,Вторичка,13.0,5.0,3.0,Null,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/293950228/
Студия,1850000,146825,5,5,Вторичка,12.6,6.6,1.0,Null,1,Null,Косметический,1973,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 43А",https://nn.cian.ru/sale/flat/294172035/
Студия,1730000,123571,5,5,Вторичка,14.0,Null,Null,Null,Null,Null,Евроремонт,1968,Null,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Советской Армии, 13",https://nn.cian.ru/sale/flat/294430041/
Студия,1850000,102778,2,5,Вторичка,18.0,17.0,1.0,2.7,Null,Null,Косметический,1977,Null,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Перекопская ул., 8к1",https://nn.cian.ru/sale/flat/291956487/
1-комн. апартаменты,1900000,146154,1,27,Вторичка Апартаменты,13.0,Null,Null,Null,1,Null,Без ремонта,2017,Нет,Null,Нет информации,1,Нет информации,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ленгородок, Украинская ул., 50",https://nn.cian.ru/sale/flat/275564036/
Студия,1900000,89202,1,5,Вторичка,21.3,12.3,4.0,Null,1,Null,Косметический,1969,Нет,Null,Нет информации,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, ул. Энтузиастов, 10к1",https://nn.cian.ru/sale/flat/293989570/
3-комн. квартира,2150000,39091,2,2,Вторичка,55.0,35.3,6.6,Null,1,Null,Косметический,1954,Null,Null,Деревянные,2,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Березовая пойма, ул. Лучистая, 6",https://nn.cian.ru/sale/flat/285281833/
Студия,2000000,153846,3,5,Вторичка,13.0,5.0,3.0,2.5,1,Null,Косметический,1981,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Чукотская ул., 3А",https://nn.cian.ru/sale/flat/294492716/
1-комн. квартира,2200000,122222,5,5,Вторичка,18.0,10.0,3.0,3.0,1,Null,Евроремонт,1954,Да,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,1,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Дарьино, ул. Энгельса, 1",https://nn.cian.ru/sale/flat/283958609/
3-комн. квартира,2200000,46122,2,2,Вторичка,47.7,35.0,7.0,Null,1,Null,Косметический,1916,Null,Null,Деревянные,2,Котел/Квартирное отопление,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Володарского, ул. Бакунина, 2",https://nn.cian.ru/sale/flat/282364073/
Студия,2000000,111111,2,5,Вторичка,18.0,10.0,3.0,Null,1,Null,Дизайнерский,1976,Null,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 12к1",https://nn.cian.ru/sale/flat/292765335/
