name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1586000,123906,1,6,Вторичка,12.8,Null,Null,2.7,Null,Null,Евроремонт,1979,Null,Null,Нет информации,2,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 20-го Партсъезда, 47",https://omsk.cian.ru/sale/flat/290648626/
2-комн. квартира,1570000,34130,2,3,Вторичка,46.0,28.0,6.0,Null,Null,1,Null,1961,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Автономное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, Крутогорская ул., 7",https://omsk.cian.ru/sale/flat/293879479/
1-комн. квартира,1480000,77895,4,5,Вторичка,19.0,Null,Null,2.5,Null,Null,Null,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 22 Апреля, 22",https://omsk.cian.ru/sale/flat/290768811/
2-комн. квартира,1500000,31915,1,2,Вторичка,47.0,Null,Null,Null,Null,Null,Без ремонта,1958,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Кировский, ул. 1-я Островская, 6",https://omsk.cian.ru/sale/flat/292494484/
2-комн. квартира,1599000,45042,1,1,Вторичка,35.5,23.1,5.0,Null,Null,Null,Косметический,Null,Null,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, ул. 1-я Енисейская, 21",https://omsk.cian.ru/sale/flat/294024386/
Доля,1333000,33325,5,9,Вторичка,40.0,17.0,11.0,2.7,Null,1,Null,1981,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,1,"Омская область, Омск, Октябрьский, мкр. Чкаловский, просп. Космический, 16А",https://omsk.cian.ru/sale/flat/293799305/
Доля,1500000,33333,5,5,Вторичка,45.0,27.0,6.0,Null,Null,1,Null,1971,Null,Панельный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 50 лет Профсоюзов, 132",https://omsk.cian.ru/sale/flat/293491595/
2-комн. квартира,1560000,34667,1,3,Вторичка,45.0,Null,Null,Null,Null,Null,Null,1960,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, ул. Российская, 5",https://omsk.cian.ru/sale/flat/294415825/
Доля,1470000,18870,3,4,Вторичка,77.9,57.4,9.0,3.0,Null,1,Null,1934,Null,Кирпичный,Деревянные,4,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Ленинский, мкр. Привокзальный, ул. Вокзальная, 1",https://omsk.cian.ru/sale/flat/290099793/
1-комн. квартира,1550000,63786,3,5,Вторичка,24.3,12.4,5.6,Null,1,Null,Null,1992,Null,Панельный,Железобетонные,2,Центральное,Нет,Null,Null,Null,"Омская область, Омск, Центральный, ул. 2-я Учхозная, 4к2",https://omsk.cian.ru/sale/flat/291148430/
2-комн. квартира,1360000,38310,1,1,Вторичка,35.5,25.5,3.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Центральный, ул. 1-я Береговая, 51Е",https://omsk.cian.ru/sale/flat/263555666/
Студия,1370000,80588,2,5,Вторичка,17.0,6.0,6.0,2.5,Null,Null,Косметический,1967,Null,Null,Нет информации,1,Нет информации,Нет,Автономное,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. Андрианова, 26",https://omsk.cian.ru/sale/flat/291133495/
1-комн. квартира,1550000,89595,5,5,Вторичка,17.3,Null,Null,Null,1,Null,Null,1966,Null,Кирпичный,Смешанные,3,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, просп. Мира, 82/2",https://omsk.cian.ru/sale/flat/294186337/
Студия,1400000,56000,1,2,Вторичка,25.0,Null,Null,Null,1,Null,Косметический,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 9-я Самарская, 8",https://omsk.cian.ru/sale/flat/287845279/
1-комн. квартира,1500000,50000,2,2,Вторичка,30.0,18.0,5.0,Null,1,Null,Null,1962,Null,Null,Нет информации,Null,Нет информации,Нет,Автономное,Null,Null,"Омская область, Омск, Советский, Береговой микрорайон, Пролетарская ул., 10",https://omsk.cian.ru/sale/flat/290976656/
2-комн. квартира,1500000,31381,1,2,Вторичка,47.8,29.0,7.5,Null,1,1,Без ремонта,1984,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Кировский, Входной микрорайон, 2888 километр железнодорожная станция, 5",https://omsk.cian.ru/sale/flat/293968636/
1-комн. квартира,1570000,56071,2,2,Вторичка,28.0,17.2,5.0,Null,1,Null,Косметический,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Новостройка, Старый Кировск микрорайон, 38",https://omsk.cian.ru/sale/flat/293968388/
